38	Komfort_und_Ausstattung#Funktionsfähigkeit_Sitz_und_Sitzverstellbarkeit
25	Atmosphäre#Temperatur
7	Atmosphäre#Lautstärke
11	DB_App_und_Website#Haupt
4	Zugfahrt#Pünktlichkeit
28	Image#Haupt
52	Image#Sponsoring
35	DB_App_und_Website#Informationen_DB_App_und_Website
41	Image#Marketing
5	DB_App_und_Website#Störungen_DB_App_und_Website
3	Sonstige_Unregelmässigkeiten#Haupt
15	Informationen#Haupt
18	Atmosphäre#Sauberkeit_allgemein
10	Connectivity#WLAN_und_Internet
43	Toiletten#Funktionsfähigkeit_Toiletten
22	Atmosphäre#Fahrgefühl
19	Zugfahrt#Fahrtzeit_und_Schnelligkeit
24	Zugfahrt#Haupt
2	Ticketkauf#Haupt
14	Atmosphäre#Haupt
26	Zugfahrt#Anschlusserreichung
34	Connectivity#Haupt
0	Allgemein#Haupt
20	Connectivity#ICE_Portal
29	Gastronomisches_Angebot#Verfügbarkeit_angebotener_Produkte
37	Zugfahrt#Wagenreihung
12	Auslastung_und_Platzangebot#Haupt
17	Design#Haupt
40	Atmosphäre#Geruch
36	Gastronomisches_Angebot#Preise
21	Connectivity#Telefonie_und_Handyempfang
50	Zugfahrt#Sonstige_Unregelmässigkeiten
1	Service_und_Kundenbetreuung#Zugbetreuung
33	Gastronomisches_Angebot#Haupt
32	Reisen_mit_Kindern#Haupt
42	Gastronomisches_Angebot#Gastronomiebetreuung
13	Komfort_und_Ausstattung#Reservierung
31	Gepäck#Haupt
8	Zugfahrt#Streckennetz
44	Komfort_und_Ausstattung#Sitzkomfort
51	Service_und_Kundenbetreuung#Am-Platz-Service_und_1._Klasse-Service
46	Komfort_und_Ausstattung#Sauberkeit_Sitzplatz
23	Komfort_und_Ausstattung#Haupt
49	Komfort_und_Ausstattung#Steckdosen
48	Toiletten#Sauberkeit_Toilette
30	Toiletten#Haupt
9	Sicherheit#Haupt
47	Atmosphäre#Beleuchtung
16	Zugfahrt#Technische_Schäden_und_Störungen_am_Zug
39	Gastronomisches_Angebot#Verfügbarkeit_Bordbistro_und_-restaurant
45	Gastronomisches_Angebot#Vielfalt_und_Auswahl
6	Service_und_Kundenbetreuung#Haupt
27	Barrierefreiheit#Haupt
